rho,1beta,1eta,1L,1gamma,2beta,2eta,2L,2gamma,3beta,3eta,3L,3gamma,6beta,6eta,6L,6gamma,10beta,10eta,10L,10gamma
3.17865,0.7021047826876,0.9469046325100603,9.604462812723142,2.4647516757930616,0.6865095358910928,0.996476463739778,19.547543582934548,1.2744267067522037,0.6854763346611077,0.9997606488294701,29.541596524121125,0.8460617962989505,0.6854010590757201,0.9999999235689623,59.54100049442325,0.4198787034417672,0.6854010350311216,0.9999999999983255,99.54100016066144,0.25115279090633574
3.166175,0.7010109573339993,0.9466516321630247,9.60255385340478,2.46458298129557,0.6852857701072812,0.9964403268305789,19.54501403211717,1.2745454226755573,0.6842382746760324,0.9997568806776131,29.538966865400507,0.8461339264446698,0.6841615131483458,0.9999999211075361,59.53835712795914,0.4198973440593717,0.6841614882316251,0.9999999999982342,99.53835678097404,0.2511594606184458
3.1536999999999997,0.6999092282010262,0.9463962670224236,9.600626822405223,2.4644127006733427,0.6840524985103769,0.9964036354478244,19.542456484436848,1.2746652861186318,0.6829904451328843,0.9997530331844227,29.536306978645,0.8462068683021648,0.6829121607784036,0.9999999185531486,59.53568313929685,0.4199162022771404,0.682912134953186,0.9999999999981372,99.53568277848724,0.2511662079577024
3.141225,0.6987995114913267,0.9461385045156573,9.59868146756808,2.4642408119085415,0.6828096114447025,0.9963663782896143,19.539870480039728,1.2747863135881805,0.6817327303022767,0.999749104256231,29.533616342256952,0.8462806354887374,0.6816528851318305,0.9999999159017656,59.53297799323245,0.41993528192703666,0.6816528583600235,0.999999999998035,99.53297761796613,0.2511730342872639
3.12875,0.6976817222591025,0.945878311481833,9.596717532121648,2.4640672925816482,0.6815569975973099,0.9963285437674166,19.537255549112626,1.2749085219042824,0.6804650126303043,0.9997450917329354,29.53089442264226,0.846355241924538,0.680383567511257,0.9999999131491548,59.53024114201734,0.4199545869315066,0.6803835397529602,0.9999999999979259,99.53024075162945,0.2511799410023919
3.116275,0.6965557743913159,0.9456156541587021,9.594734754574938,2.4638921198624484,0.6802945439675923,0.9962901199973914,19.53461121161653,1.2750319282076799,0.6791871727028163,0.9997409933855312,29.528140673866034,0.8464307018409348,0.6791040873187127,0.9999999102908784,59.527472024988484,0.41997412130616674,0.6791040585321222,0.9999999999978109,99.52747161877966,0.25118692953140453
3.1038,0.6954215805885544,0.9453504981692449,9.592732868610957,2.4637152705007335,0.6790221358362615,0.9962510947914117,19.531936977011615,1.2751565499673216,0.677899089208857,0.9997368069135497,29.52535453729625,0.8465070297891666,0.6778143220174386,0.9999999073222741,59.52467006818578,0.41999388916258146,0.6778142921587448,0.999999999997688,99.52466964542013,0.25119400133665887
3.0913250000000003,0.6942790523455442,0.9450828085079106,9.5907116029771,2.463536720816792,0.6777396567336779,0.9962114556477634,19.529232343973558,1.275282404988105,0.6766006389032609,0.9997325299423769,29.52253544123524,0.8465842406492743,0.6765141470927676,0.9999999042384503,59.52183468395535,0.42001389471114936,0.6765141161160483,0.9999999999975572,99.52183424385828,0.25120115791557307
3.07885,0.6931280999313094,0.9448125495264881,9.588670681372653,2.4633564466916145,0.6764469884075136,0.9961711897415267,19.526496800100695,1.2754095114188502,0.675291696568373,0.9997281600204649,29.519682800538273,0.8466623496393357,0.6752034360120601,0.9999999010342687,59.518965270538885,0.4200341422640859,0.675203403869166,0.9999999999974183,99.51896481229484,0.25120840080168205
3.066375,0.6919686323689682,0.944539684919605,9.586609822333212,2.4631744235568585,0.6751440107897438,0.9961302839145991,19.52372982161181,1.2755378877604782,0.6739721349748765,0.999723694616413,29.51679601621891,0.8467413723250012,0.6738820601836596,0.9999998977043307,59.51606121164786,0.42005463623852063,0.673882026824093,0.9999999999972716,99.51606073439784,0.25121573156573423
3.0539,0.6908005574151607,0.9442641777098408,9.584528739112022,2.4629906263845274,0.6738306019629391,0.9960887246653803,19.520930873034107,1.275667552874439,0.6726418248416987,0.9997191311159365,29.513874475040396,0.8468213246293617,0.6725498889148411,0.9999998942429666,59.51312187602238,0.42007538115970644,0.6725498542856297,0.9999999999971153,99.51312137886157,0.2512231518168251
3.0414250000000003,0.6896237815391019,0.9439859902324372,9.582427139558066,2.462805029676368,0.6725066381258559,0.9960464981380689,19.51809940688112,1.2757985259913578,0.671300634794975,0.9997144668186931,29.51091754909269,0.8469022228431435,0.6712067893687285,0.9999998906442151,59.51014661697387,0.42009638166434493,0.671206753414288,0.9999999999969491,99.5101460989487,0.25123066320357706
3.02895,0.6884382099012507,0.9437050841196066,9.580304725990837,2.462617607452994,0.6711719935582998,0.9960035901115878,19.515234863320057,1.2759308267199367,0.6699484313260456,0.9997096989349741,29.507924595354403,0.8469840836352516,0.6698526265201438,0.9999998869018105,59.50713477191079,0.4201176425040386,0.6698525891821351,0.9999999999967719,99.50713423201613,0.25123826741535904
3.016475,0.6872437463315926,0.9434214202844092,9.578161195071717,2.462428333242687,0.6698265405852528,0.9959599859880994,19.512336669828215,1.276064475056113,0.6685850787484569,0.9997048245822485,29.504894955239195,0.8470669240636719,0.6684872631103647,0.9999998830091626,59.5040856618469,0.42013916854886957,0.6684872243275402,0.9999999999965833,99.50408509902286,0.25124596618355405
3.004,0.6860402933075219,0.9431349589042042,9.575996237671747,2.462237180069926,0.6684701495402445,0.9959156707811054,19.509404240838165,1.2761994913924635,0.6672104391539427,0.999699840781556,29.50182795412578,0.8471507615867491,0.6671105596007519,0.9999998789593412,59.500998590890966,0.4201609647911151,0.6671105193087941,0.9999999999963827,99.5009980040196,0.251253761282873
