rho,betak1,betak2,psii1,Li1,gammai1,psii2,Li2,gammai2,psii3,Li3,gammai3,psii4,Li4,gammai4,psii5,Li5,gammai5,psii6,Li6,gammai6,psii7,Li7,gammai7,psii8,Li8,gammai8,psii9,Li9,gammai9,psii10,Li10,gammai10,beta,eta,L,gamma
4.520000e+00,5.999660e-01,8.234604e-01,7.190656e-06,5.831549e+00,1.714798e-01,7.190656e-06,5.831549e+00,1.714798e-01,7.190656e-06,5.831549e+00,1.714798e-01,4.320953e-10,5.971591e+00,1.674596e-01,4.320953e-10,5.971591e+00,1.674596e-01,4.320953e-10,5.971591e+00,1.674596e-01,4.320953e-10,5.971591e+00,1.674596e-01,9.075427e-10,5.966944e+00,1.675900e-01,9.075427e-10,5.966944e+00,1.675900e-01,9.075427e-10,5.966944e+00,1.675900e-01,7.787615e-01,9.999978e-01,5.928184e+01,1.686853e-01
4.530000e+00,6.007975e-01,8.238630e-01,7.072410e-06,5.832111e+00,1.714633e-01,7.072410e-06,5.832111e+00,1.714633e-01,7.072410e-06,5.832111e+00,1.714633e-01,4.250356e-10,5.971671e+00,1.674573e-01,4.250356e-10,5.971671e+00,1.674573e-01,4.250356e-10,5.971671e+00,1.674573e-01,4.250356e-10,5.971671e+00,1.674573e-01,8.938309e-10,5.967032e+00,1.675875e-01,8.938309e-10,5.967032e+00,1.675875e-01,8.938309e-10,5.967032e+00,1.675875e-01,7.792499e-01,9.999979e-01,5.928411e+01,1.686789e-01
4.540000e+00,6.016255e-01,8.242638e-01,6.956423e-06,5.832669e+00,1.714469e-01,6.956423e-06,5.832669e+00,1.714469e-01,6.956423e-06,5.832669e+00,1.714469e-01,4.181100e-10,5.971751e+00,1.674551e-01,4.181100e-10,5.971751e+00,1.674551e-01,4.181100e-10,5.971751e+00,1.674551e-01,4.181100e-10,5.971751e+00,1.674551e-01,8.803617e-10,5.967120e+00,1.675850e-01,8.803617e-10,5.967120e+00,1.675850e-01,8.803617e-10,5.967120e+00,1.675850e-01,7.797361e-01,9.999979e-01,5.928637e+01,1.686725e-01
4.550000e+00,6.024502e-01,8.246627e-01,6.842645e-06,5.833223e+00,1.714306e-01,6.842645e-06,5.833223e+00,1.714306e-01,6.842645e-06,5.833223e+00,1.714306e-01,4.113158e-10,5.971831e+00,1.674528e-01,4.113158e-10,5.971831e+00,1.674528e-01,4.113158e-10,5.971831e+00,1.674528e-01,4.113158e-10,5.971831e+00,1.674528e-01,8.671300e-10,5.967207e+00,1.675826e-01,8.671300e-10,5.967207e+00,1.675826e-01,8.671300e-10,5.967207e+00,1.675826e-01,7.802202e-01,9.999979e-01,5.928862e+01,1.686661e-01
4.560000e+00,6.032715e-01,8.250599e-01,6.731029e-06,5.833774e+00,1.714145e-01,6.731029e-06,5.833774e+00,1.714145e-01,6.731029e-06,5.833774e+00,1.714145e-01,4.046500e-10,5.971910e+00,1.674506e-01,4.046500e-10,5.971910e+00,1.674506e-01,4.046500e-10,5.971910e+00,1.674506e-01,4.046500e-10,5.971910e+00,1.674506e-01,8.541311e-10,5.967294e+00,1.675801e-01,8.541311e-10,5.967294e+00,1.675801e-01,8.541311e-10,5.967294e+00,1.675801e-01,7.807022e-01,9.999980e-01,5.929084e+01,1.686598e-01
4.570000e+00,6.040895e-01,8.254552e-01,6.621529e-06,5.834321e+00,1.713984e-01,6.621529e-06,5.834321e+00,1.713984e-01,6.621529e-06,5.834321e+00,1.713984e-01,3.981099e-10,5.971989e+00,1.674484e-01,3.981099e-10,5.971989e+00,1.674484e-01,3.981099e-10,5.971989e+00,1.674484e-01,3.981099e-10,5.971989e+00,1.674484e-01,8.413602e-10,5.967380e+00,1.675777e-01,8.413602e-10,5.967380e+00,1.675777e-01,8.413602e-10,5.967380e+00,1.675777e-01,7.811821e-01,9.999980e-01,5.929306e+01,1.686535e-01
4.580000e+00,6.049042e-01,8.258487e-01,6.514098e-06,5.834864e+00,1.713825e-01,6.514098e-06,5.834864e+00,1.713825e-01,6.514098e-06,5.834864e+00,1.713825e-01,3.916927e-10,5.972067e+00,1.674462e-01,3.916927e-10,5.972067e+00,1.674462e-01,3.916927e-10,5.972067e+00,1.674462e-01,3.916927e-10,5.972067e+00,1.674462e-01,8.288129e-10,5.967466e+00,1.675753e-01,8.288129e-10,5.967466e+00,1.675753e-01,8.288129e-10,5.967466e+00,1.675753e-01,7.816598e-01,9.999980e-01,5.929526e+01,1.686472e-01
4.590000e+00,6.057155e-01,8.262405e-01,6.408693e-06,5.835404e+00,1.713666e-01,6.408693e-06,5.835404e+00,1.713666e-01,6.408693e-06,5.835404e+00,1.713666e-01,3.853960e-10,5.972145e+00,1.674440e-01,3.853960e-10,5.972145e+00,1.674440e-01,3.853960e-10,5.972145e+00,1.674440e-01,3.853960e-10,5.972145e+00,1.674440e-01,8.164845e-10,5.967552e+00,1.675729e-01,8.164845e-10,5.967552e+00,1.675729e-01,8.164845e-10,5.967552e+00,1.675729e-01,7.821355e-01,9.999981e-01,5.929745e+01,1.686410e-01
4.600000e+00,6.065236e-01,8.266305e-01,6.305269e-06,5.835941e+00,1.713509e-01,6.305269e-06,5.835941e+00,1.713509e-01,6.305269e-06,5.835941e+00,1.713509e-01,3.792170e-10,5.972222e+00,1.674419e-01,3.792170e-10,5.972222e+00,1.674419e-01,3.792170e-10,5.972222e+00,1.674419e-01,3.792170e-10,5.972222e+00,1.674419e-01,8.043708e-10,5.967636e+00,1.675705e-01,8.043708e-10,5.967636e+00,1.675705e-01,8.043708e-10,5.967636e+00,1.675705e-01,7.826091e-01,9.999981e-01,5.929962e+01,1.686348e-01
4.610000e+00,6.073284e-01,8.270187e-01,6.203784e-06,5.836474e+00,1.713353e-01,6.203784e-06,5.836474e+00,1.713353e-01,6.203784e-06,5.836474e+00,1.713353e-01,3.731532e-10,5.972299e+00,1.674397e-01,3.731532e-10,5.972299e+00,1.674397e-01,3.731532e-10,5.972299e+00,1.674397e-01,3.731532e-10,5.972299e+00,1.674397e-01,7.924674e-10,5.967721e+00,1.675682e-01,7.924674e-10,5.967721e+00,1.675682e-01,7.924674e-10,5.967721e+00,1.675682e-01,7.830807e-01,9.999981e-01,5.930178e+01,1.686287e-01
